source_version	entry	os	arch	distro
3.14.7	3.14.7-macos-15-arm64	Darwin	arm64	macos 15.7.9
3.14.7	3.14.7-ubuntu-24.04-x86_64	Linux	x86_64	ubuntu 24.04
